,SA,"2-甲基乙酰
乙酸乙酯",PG,ZA,IAA,辛伐他汀,非诺贝特,尿囊素,草酸铵,新利司他,评价值
0,0.63,1.11,142.66,0.07,0.0,0.09,0.14,2.25,0.0,11.51,9.38989005333664
1,0.01,0.26,0.01,0.01,0.0,0.0,0.0,0.6,1.28,0.12,9.347587450841122
2,0.0,0.02,0.02,0.5,0.06,0.14,0.0,0.0,2.02,0.0,9.326293470058538
3,0.08,0.0,3.51,0.02,0.0,1.07,0.17,1.22,0.01,6.8,9.23397194371884
4,0.0,30.32,0.0,0.08,0.85,0.08,4.79,0.02,0.0,13.02,9.098771560545732
5,0.37,0.28,46.72,31.22,13.08,0.0,0.09,1.08,0.0,0.08,8.976831662815359
6,0.13,0.79,0.02,0.0,0.0,0.0,0.52,3.09,5.42,0.0,8.937118683860602
7,0.09,0.04,0.03,11.61,0.16,2.73,0.22,442.99,0.0,0.17,8.921637672580475
8,2.34,2.06,0.02,0.42,0.01,0.0,0.01,0.04,7.29,0.04,8.914018111236155
9,70.53,4.04,0.0,36.3,0.01,0.6,2.26,0.12,0.0,0.02,8.873345073159989
10,9.3,876.29,0.07,0.84,0.01,0.02,0.52,0.05,0.0,0.0,8.87012542236521
11,18.76,0.01,0.0,0.96,0.0,0.23,15.98,0.05,0.0,1.07,8.864024343869499
12,103.57,3.11,0.62,0.24,0.02,4.93,0.04,50.26,0.0,0.29,8.803289488205007
13,2.1,0.4,0.01,0.95,0.0,2.83,23.06,0.01,0.0,0.79,8.789178148739929
14,0.01,0.14,4.58,24.87,0.26,0.0,97.31,0.01,0.01,0.23,8.772650652636722
15,1.36,0.0,282.88,0.01,8.86,0.25,0.0,0.07,1.26,0.0,8.756165742090017
16,0.09,3.66,0.05,0.02,0.48,0.04,1.69,106.25,0.01,0.46,8.749698012753027
17,0.03,3.17,0.0,0.0,0.16,0.39,0.09,7.41,0.23,0.06,8.734024968467413
18,0.8,28.77,1.45,0.04,0.42,0.15,0.01,0.06,0.59,0.11,8.727454814757152
19,0.0,0.8,0.0,50.11,2.62,0.24,1.59,0.0,3.16,0.04,8.722396158233167
